Step,Speed (m/s),Acceleration (m/s^2),Fuel HBEFA (mg)
823,16.383,1.783,32.596
824,16.4,1.671,31.097
825,16.419,1.984,35.405
826,16.442,2.288,39.608
827,16.457,1.464,28.374
828,16.475,1.826,33.355
829,16.498,2.259,39.347
830,16.519,2.15,37.889
831,16.537,1.806,33.2
832,16.563,2.556,43.578
833,16.58,1.672,31.441
834,16.595,1.58,30.195
835,16.619,2.401,41.587
836,16.636,1.698,31.906
837,16.658,2.142,38.085
838,16.682,2.451,42.437
839,16.708,2.567,44.107
840,16.725,1.722,32.397
841,16.748,2.24,39.656
842,16.766,1.866,34.486
843,16.781,1.434,28.478
844,16.794,1.332,27.088
845,16.819,2.493,43.359
846,16.843,2.379,41.813
847,16.865,2.212,39.532
848,16.884,1.951,35.915
849,16.903,1.878,34.926
850,16.918,1.452,28.956
851,16.934,1.672,32.082
852,16.949,1.473,29.31
853,16.966,1.725,32.892
854,16.987,2.11,38.369
855,17.012,2.433,42.986
856,17.037,2.508,44.108
857,17.058,2.144,39.007
858,17.082,2.331,41.707
859,17.1,1.856,35.006
860,17.114,1.397,28.503
861,17.133,1.881,35.419
862,17.158,2.462,43.758
863,17.181,2.299,41.488
864,17.203,2.192,40.01
865,17.221,1.803,34.477
866,17.247,2.599,45.952
867,17.262,1.567,31.175
868,17.288,2.545,45.277
869,17.301,1.315,27.616
870,17.326,2.479,44.431
871,17.342,1.617,32.034
872,17.361,1.904,36.217
873,17.381,2.027,38.033
874,17.399,1.781,34.513
875,17.424,2.562,45.884
876,17.44,1.55,31.242
877,17.465,2.483,44.842
878,17.48,1.556,31.396
879,17.5,1.941,37.04
880,17.521,2.145,40.054
881,17.537,1.56,31.56
882,17.556,1.884,36.322
883,17.574,1.837,35.671
884,17.59,1.57,31.794
885,17.606,1.621,32.581
886,17.629,2.262,42.003
887,17.646,1.705,33.873
888,17.667,2.095,39.651
889,17.684,1.787,35.153
890,17.708,2.394,44.137
891,17.729,2.077,39.517
892,17.751,2.171,40.953
893,17.771,1.977,38.14
894,17.787,1.637,33.147
895,17.801,1.443,30.299
896,17.823,2.136,40.603
897,17.847,2.417,44.818
898,17.86,1.315,28.494
899,17.885,2.478,45.821
900,17.901,1.612,32.981
901,17.921,2.006,38.889
902,17.945,2.392,44.702
903,17.966,2.063,39.839
904,17.983,1.732,34.915
905,18.004,2.066,39.955
906,18.025,2.126,40.905
907,18.041,1.634,33.565
908,18.058,1.646,33.769
909,18.073,1.553,32.4
910,18.095,2.187,41.987
911,18.113,1.8,36.194
912,18.127,1.432,30.672
913,18.145,1.752,35.532
914,18.162,1.68,34.478
915,18.187,2.529,47.365
916,18.21,2.322,44.296
