Time (s),Predicted Fuel
17353.0,1.4364561334876637e-06
17354.0,1.2538410399104292e-05
17355.0,3.378140166101534e-06
17356.0,1.0966567277834471e-05
17357.0,6.866705852384888e-06
17358.0,7.416098137808184e-06
17359.0,5.360866974008939e-06
17360.0,9.116332631644067e-07
17361.0,1.2719614362150643e-05
17362.0,6.43350821486294e-06
17363.0,1.2097599127744436e-06
17364.0,9.083523759738692e-06
17365.0,2.632109866422789e-06
17366.0,1.3405934980993035e-05
17367.0,5.483781914380688e-06
17368.0,7.042287743195039e-06
17369.0,1.8872119334238772e-06
17370.0,6.822059807573766e-06
17371.0,1.0704611630598734e-05
17372.0,7.38298434519938e-06
17373.0,5.053220865800187e-06
17374.0,4.932476742337554e-06
17375.0,7.479016615362934e-06
17376.0,7.558350384503177e-06
17377.0,1.113365620934471e-05
17378.0,1.1974669932642103e-06
17379.0,1.2011988533984532e-05
17380.0,7.4684776310992295e-06
17381.0,6.585410680935194e-06
17382.0,6.908044517814276e-06
17383.0,3.1604060394936112e-06
17384.0,6.256770831251739e-06
17385.0,5.85595670655433e-06
17386.0,1.1209210448429659e-05
17387.0,1.1963316301631947e-06
17388.0,6.869993996202255e-06
17389.0,1.105391294414786e-05
17390.0,4.351141565914762e-06
17391.0,1.0005573697802075e-05
17392.0,5.661423687345086e-06
17393.0,7.67950163772819e-06
17394.0,6.208173744188341e-06
17395.0,4.958033330620646e-06
17396.0,4.5953895629239504e-06
17397.0,6.25072141686073e-06
17398.0,1.139751128511623e-05
17399.0,9.54866697962268e-06
17400.0,1.6072438072732896e-07
17401.0,9.6476373585345e-06
17402.0,3.1494749503317375e-06
17403.0,1.20058842262927e-05
17404.0,5.043676351321013e-06
17405.0,2.588968215947474e-06
17406.0,1.2290036445226163e-05
17407.0,8.511327875693601e-06
17408.0,3.638161616824176e-06
17409.0,1.0001235450700864e-05
17410.0,1.7048183898212659e-06
17411.0,1.1406714230124275e-05
17412.0,3.7844892942891295e-06
17413.0,6.596365708232833e-06
17414.0,6.7357643376120055e-06
17415.0,5.142437213440108e-06
17416.0,8.817053729882558e-06
17417.0,7.233080261975838e-06
17418.0,4.815547679713687e-06
17419.0,6.238633878159448e-06
17420.0,6.65655741686994e-06
17421.0,1.3568795324356755e-05
17422.0,3.3079615457224756e-06
17423.0,4.25351489053698e-06
17424.0,7.66272664750137e-06
17425.0,9.22392616400137e-06
17426.0,9.043345993355016e-06
17427.0,4.978483519279202e-06
17428.0,3.1180693599727095e-06
17429.0,9.033510743745795e-06
17430.0,3.777707543108556e-06
17431.0,6.268912579827791e-06
17432.0,7.818858332989007e-06
17433.0,7.304057011897485e-06
17434.0,1.3276817398179956e-05
17435.0,3.745047701059751e-06
17436.0,1.6741439263144704e-06
17437.0,1.151022699326421e-05
17438.0,5.736268994503469e-06
17439.0,5.452338430323747e-06
17440.0,8.479693926853809e-06
17441.0,4.745283895892253e-06
17442.0,8.33988916146485e-06
17443.0,6.1055948794868375e-06
17444.0,5.072347875546931e-06
17445.0,1.1259172840453298e-05
17446.0,3.0801254398240127e-06
17447.0,1.1168077768254442e-05
17448.0,2.272672542011088e-06
17449.0,9.648635321699715e-06
17450.0,8.431204858783704e-06
17451.0,5.748675023919273e-06
17452.0,5.815383171560756e-06
17453.0,5.2658644074450896e-06
17454.0,1.2036732809555868e-05
17455.0,4.545871788491091e-06
17456.0,3.419684288018451e-06
17457.0,5.146152214997863e-06
17458.0,1.2317641493881856e-05
17459.0,2.4745959282814077e-06
17460.0,1.2288447518507583e-05
17461.0,7.5281261034620365e-06
17462.0,7.213227367966748e-06
17463.0,1.8593191254755118e-06
17464.0,1.1456578057609358e-05
17465.0,-8.615110544075116e-08
17466.0,1.5398695637277457e-05
17467.0,2.65926889882799e-06
17468.0,6.5046145021286845e-06
17469.0,5.4839483773620725e-06
17470.0,9.191102299141548e-06
17471.0,6.976129300986601e-06
17472.0,3.2296701139914886e-06
17473.0,1.1421218255019653e-05
17474.0,3.789065655874504e-06
17475.0,4.83352798285756e-06
17476.0,1.3675616379497688e-05
17477.0,5.048659183224675e-06
17478.0,3.90407905170644e-06
17479.0,9.353415962208171e-06
17480.0,6.655574352211551e-06
17481.0,6.274949774099403e-06
17482.0,8.100731707003315e-06
17483.0,2.448946431588813e-06
17484.0,1.3997651481986537e-05
17485.0,9.622513768540516e-07
17486.0,1.2494990493604553e-05
17487.0,6.92184378014969e-06
17488.0,2.9639787938102607e-06
17489.0,3.6840823759153056e-06
17490.0,1.042817078187513e-05
17491.0,6.957319668638653e-06
17492.0,8.632230029908156e-06
17493.0,2.5399430300093106e-06
17494.0,1.1677801877259294e-05
17495.0,2.8822831388704762e-06
17496.0,9.447807326610453e-06
17497.0,2.6503720174348355e-06
17498.0,1.2866157479296729e-05
17499.0,3.0153511337335187e-06
17500.0,1.0835587339574158e-05
17501.0,6.0636535832867706e-06
17502.0,5.508835426617542e-06
17503.0,3.011878129883064e-06
17504.0,9.184280381937932e-06
17505.0,9.095861466555426e-06
17506.0,8.643402646597296e-06
17507.0,1.4310037115294944e-06
17508.0,1.0431791766171382e-05
17509.0,5.1356312364103695e-06
17510.0,9.03486357417185e-06
17511.0,6.2327135726835905e-06
17512.0,5.027654120230718e-06
17513.0,8.592764903198604e-06
17514.0,3.7828376551108736e-06
17515.0,6.515928475143822e-06
17516.0,6.515880186801503e-06
17517.0,1.4155543067618821e-05
17518.0,1.6533097155473896e-06
17519.0,9.027205464841017e-06
17520.0,8.097878065364481e-06
17521.0,1.9631538701999903e-06
17522.0,9.309380881203606e-06
17523.0,9.021164439540176e-06
17524.0,6.733310296081306e-06
17525.0,2.7740702081713727e-06
17526.0,1.1900449343594539e-05
17527.0,5.7324112707623305e-06
17528.0,4.9681866823591495e-06
17529.0,5.341973102759447e-06
17530.0,1.1838831663276795e-05
17531.0,5.840984750818863e-06
17532.0,1.7676388932678148e-06
17533.0,7.0876441631175766e-06
17534.0,9.62749415133076e-06
17535.0,5.209806434917194e-06
17536.0,8.643884866706954e-06
17537.0,1.0047740096058894e-05
17538.0,5.509872402887876e-06
17539.0,7.004203862644258e-06
17540.0,6.401450781723604e-06
17541.0,4.800803251291372e-06
17542.0,8.468952405282619e-06
17543.0,1.0386231872872035e-05
17544.0,1.9259929770665665e-07
17545.0,1.1804255926422222e-05
17546.0,5.269572539441149e-06
17547.0,5.468653448240526e-06
17548.0,1.078954733305856e-05
17549.0,6.726920155365332e-06
17550.0,5.131161514589962e-06
17551.0,8.904332363421522e-06
17552.0,3.448811352615814e-06
17553.0,5.072391609519033e-06
17554.0,8.273987364644753e-06
17555.0,1.1169434386400384e-05
17556.0,3.779258433642144e-06
17557.0,8.293644360963922e-06
17558.0,1.1806504664063123e-06
17559.0,8.555408421305644e-06
17560.0,1.2243431148999713e-05
17561.0,7.522492604130951e-06
17562.0,1.1067443092577966e-06
17563.0,1.009541088965963e-05
17564.0,3.4281210921152123e-06
17565.0,7.1708918689384295e-06
17566.0,6.058563113849594e-06
17567.0,1.172032649993729e-05
17568.0,7.74472771808866e-06
17569.0,3.6191057256063525e-06
17570.0,5.70994462416024e-06
17571.0,1.2132310247333344e-05
17572.0,5.240286909517033e-06
17573.0,5.210841987908821e-06
17574.0,8.346291178893135e-06
17575.0,9.934662203428448e-06
17576.0,7.28114191519791e-06
17577.0,3.95397583458536e-06
17578.0,9.79583228512904e-06
17579.0,2.335680370289585e-06
17580.0,6.455274958543383e-06
17581.0,9.829266094073445e-06
17582.0,6.894838893835078e-06
17583.0,7.448989581679583e-06
17584.0,6.485547703231521e-06
17585.0,7.147690749818271e-06
17586.0,4.640348469835643e-06
17587.0,6.713820771129884e-06
17588.0,9.310071664672105e-06
17589.0,1.9860862179632283e-06
17590.0,1.1661746626776468e-05
17591.0,1.9210513629166253e-06
17592.0,1.2610933863385569e-05
17593.0,6.960922707332071e-06
17594.0,6.196730093638151e-06
17595.0,7.900152808025592e-06
17596.0,1.2983730350125253e-06
17597.0,1.4137061032299976e-05
17598.0,3.589613679852458e-06
17599.0,8.20695418645833e-06
17600.0,8.002539408064609e-06
17601.0,2.4706044941355995e-06
17602.0,6.893738321727935e-06
17603.0,8.626746750472637e-06
17604.0,6.329000878974688e-06
17605.0,1.1494786665873546e-05
17606.0,3.480482963497376e-07
17607.0,1.0253649714037404e-05
17608.0,3.5453373766934204e-06
17609.0,9.294465086285005e-06
17610.0,9.519797104603477e-06
17611.0,6.7740526937294016e-06
17612.0,2.580654162142758e-06
17613.0,6.352956788213915e-06
17614.0,1.2783586688633548e-05
17615.0,5.3253995606111215e-06
17616.0,4.240368833300297e-06
17617.0,6.274913617506585e-06
17618.0,1.062134264460666e-05
17619.0,6.515349861893232e-06
17620.0,4.390685159006613e-06
17621.0,1.076088135557904e-05
17622.0,8.194532647480914e-06
17623.0,4.4732381661855286e-06
17624.0,3.2588478013920544e-06
17625.0,1.2715897492929793e-05
17626.0,2.180184478880998e-06
17627.0,1.1581204596819726e-05
17628.0,1.188633717965275e-06
17629.0,1.0317573291078826e-05
17630.0,1.0231090017086464e-05
17631.0,1.898813298366716e-06
17632.0,8.258043385309205e-06
17633.0,3.505552350044687e-06
17634.0,8.6475644404638e-06
